Frequencia (Hz),Amplitude (dB)
1959.17,139.28
974.18,139.27
992.98,139.27
961.03,139.27
233.15,139.26
913.8,139.26
310.48,139.26
258.47,139.26
261.68,139.26
1999.39,139.25
1296.34,139.25
242.3,139.24
970.58,139.24
355.86,139.24
311.16,139.24
1015.18,139.23
243.67,139.23
1976.12,139.23
962.69,139.22
406.01,139.22
826.83,139.22
1020.25,139.22
851.57,139.21
286.91,139.21
913.51,139.21
994.83,139.21
1953.62,139.19
838.62,139.19
480.03,139.18
1101.95,139.18
224.77,139.18
741.62,139.18
233.83,139.18
1101.57,139.17
2020.14,139.17
1351.17,139.17
257.01,139.16
286.81,139.16
1132.83,139.16
598.45,139.16
1943.78,139.16
738.01,139.16
910.98,139.16
373.88,139.15
1922.46,139.15
559.01,139.15
1938.04,139.15
1978.26,139.15
1971.15,139.14
1939.89,139.14
999.5,139.13
858.19,139.13
1968.03,139.13
925.19,139.12
1974.36,139.12
2044.39,139.11
908.93,139.11
746.29,139.11
845.63,139.11
1286.9,139.11
2040.1,139.11
719.51,139.09
257.2,139.09
560.96,139.09
1889.05,139.09
829.85,139.08
1008.95,139.08
752.04,139.07
839.39,139.07
7982.38,139.07
296.45,139.07
1311.44,139.07
318.75,139.06
738.69,139.06
1158.54,139.06
1945.63,139.05
556.67,139.05
321.09,139.05
1283.97,139.04
1928.01,139.04
976.62,139.04
1000.48,139.03
555.21,139.03
1356.72,139.03
1902.59,139.03
244.93,139.03
1336.76,139.03
961.13,139.03
864.72,139.02
1007.68,139.02
826.64,139.02
1002.33,139.01
1022.49,139.01
257.11,139.01
242.69,139.01
1330.33,139.01
1284.36,139.0
299.57,138.99
1295.66,138.99
1983.81,138.99
1283.29,138.98
952.85,138.97
995.02,138.97
1972.03,138.97
2016.73,138.97
991.32,138.96
755.15,138.96
840.08,138.95
2032.6,138.95
1982.15,138.95
964.44,138.95
1947.39,138.95
1006.22,138.94
1016.84,138.94
736.26,138.94
909.22,138.94
1003.88,138.93
563.0,138.93
557.55,138.93
990.35,138.93
1172.37,138.91
1138.18,138.9
1329.94,138.9
215.13,138.89
612.09,138.89
977.49,138.89
1199.73,138.89
810.47,138.88
358.98,138.88
589.3,138.88
826.73,138.88
1339.0,138.88
331.8,138.88
555.31,138.87
2024.62,138.86
1950.5,138.86
553.85,138.86
825.27,138.85
738.21,138.85
1916.61,138.85
1203.73,138.85
2042.34,138.85
1015.28,138.85
313.98,138.84
714.64,138.84
2034.26,138.84
504.57,138.83
234.12,138.83
361.7,138.83
1924.11,138.82
548.1,138.82
856.44,138.81
562.42,138.81
558.72,138.8
666.53,138.8
213.48,138.78
738.3,138.78
676.46,138.78
378.45,138.77
598.94,138.77
120.37,138.76
1284.66,138.76
359.07,138.76
974.57,138.75
959.18,138.75
365.01,138.75
1974.46,138.75
611.99,138.75
1936.09,138.74
558.91,138.74
563.2,138.73
599.23,138.72
244.64,138.72
236.36,138.72
827.61,138.72
322.06,138.71
376.51,138.71
1010.02,138.7
1953.52,138.7
1964.43,138.69
2020.62,138.69
213.87,138.69
364.72,138.68
1879.02,138.68
2018.87,138.68
1941.84,138.67
1885.16,138.67
2042.15,138.67
555.51,138.67
1980.01,138.66
260.71,138.66
748.53,138.66
525.7,138.66
2017.21,138.66
1944.27,138.65
847.28,138.65
849.23,138.65
1016.25,138.64
990.44,138.64
753.21,138.63
738.99,138.63
1310.66,138.63
189.03,138.62
590.08,138.61
827.22,138.61
1954.98,138.61
908.54,138.61
366.38,138.61
1126.11,138.6
1306.96,138.6
843.68,138.59
1062.51,138.59
361.41,138.58
1009.05,138.57
890.23,138.57
1944.56,138.57
743.47,138.57
1099.81,138.57
59.99,138.56
915.16,138.56
248.93,138.56
1200.61,138.55
948.86,138.55
1152.6,138.54
743.37,138.54
1319.62,138.53
836.67,138.53
237.53,138.53
1020.05,138.53
181.24,138.52
840.86,138.52
293.63,138.52
1007.1,138.51
221.46,138.51
1134.19,138.51
836.96,138.51
1336.47,138.49
360.83,138.49
1129.22,138.49
1287.97,138.49
560.76,138.49
1926.74,138.48
900.16,138.48
2038.45,138.48
285.84,138.48
365.79,138.48
371.93,138.47
1944.37,138.47
1019.47,138.47
756.71,138.47
1973.78,138.47
1970.57,138.47
1132.44,138.46
1972.51,138.46
2022.38,138.46
362.19,138.46
950.13,138.46
243.18,138.46
366.08,138.45
659.52,138.45
1853.5,138.45
1919.53,138.44
745.02,138.44
405.92,138.44
1108.97,138.44
737.62,138.43
1131.17,138.43
1921.87,138.42
1198.86,138.42
1972.12,138.42
979.05,138.42
255.45,138.42
1924.6,138.42
839.3,138.42
1284.27,138.42
1957.71,138.41
1975.92,138.41
212.41,138.41
1020.63,138.41
663.51,138.4
1141.69,138.4
2005.72,138.4
771.22,138.39
188.35,138.39
943.7,138.39
365.5,138.39
802.39,138.38
943.99,138.38
919.45,138.38
7982.67,138.38
901.04,138.38
1925.86,138.38
931.62,138.38
828.39,138.38
1132.92,138.38
1000.09,138.37
1326.92,138.37
1037.58,138.37
970.19,138.37
258.37,138.37
810.57,138.37
987.91,138.36
824.59,138.36
942.92,138.35
784.47,138.35
1882.92,138.35
980.12,138.34
1928.4,138.34
309.01,138.34
1918.46,138.34
906.88,138.34
1880.87,138.33
560.18,138.33
1148.8,138.33
1920.22,138.33
996.09,138.32
911.66,138.32
363.75,138.32
836.57,138.32
1938.33,138.32
975.15,138.31
1200.41,138.31
1892.65,138.31
315.73,138.3
1125.72,138.3
1922.55,138.29
746.39,138.29
303.85,138.28
184.94,138.28
672.96,138.28
2018.19,138.27
1896.74,138.27
1123.96,138.27
868.61,138.26
1339.19,138.26
989.76,138.26
3991.29,138.26
357.61,138.25
1884.96,138.25
1320.11,138.25
363.16,138.25
964.93,138.25
1329.84,138.24
1284.46,138.24
963.18,138.24
1137.99,138.24
504.28,138.24
681.14,138.23
1018.01,138.23
536.03,138.23
373.1,138.22
1324.1,138.22
1957.03,138.21
944.57,138.2
1038.16,138.2
980.22,138.2
2044.09,138.2
1009.53,138.2
1200.03,138.2
589.88,138.2
992.49,138.19
1320.2,138.19
913.7,138.19
3990.99,138.19
549.47,138.19
358.78,138.18
902.02,138.18
369.79,138.17
503.31,138.17
1338.03,138.17
556.77,138.17
275.32,138.17
995.8,138.16
1921.58,138.16
928.7,138.16
899.97,138.16
1988.0,138.16
1951.28,138.16
236.17,138.15
119.2,138.15
